

Experiment 1 Results (DTLearner RMSE vs. Leaf Size)
--------------------------------------------------
Leaf Size    In-Sample RMSE       Out-of-Sample RMSE  
-----------  -------------------- --------------------
1            0.000000             0.008435            
2            0.002346             0.008528            
3            0.003230             0.008087            
4            0.003251             0.008057            
5            0.004119             0.007507            
6            0.004361             0.007212            
7            0.004361             0.007212            
8            0.004361             0.007212            
9            0.004408             0.007255            
10           0.005009             0.007403            
11           0.005094             0.007566            
12           0.005094             0.007566            
13           0.005094             0.007566            
14           0.005094             0.007566            
15           0.005094             0.007566            
16           0.005094             0.007566            
17           0.005094             0.007566            
18           0.005094             0.007566            
19           0.005169             0.007525            
20           0.005719             0.007533            
21           0.006118             0.007676            
22           0.006118             0.007676            
23           0.006118             0.007676            
24           0.006118             0.007676            
25           0.006118             0.007676            
26           0.006118             0.007676            
27           0.006118             0.007676            
28           0.006118             0.007676            
29           0.006118             0.007676            
30           0.006118             0.007676            
31           0.006118             0.007676            
32           0.006118             0.007676            
33           0.006118             0.007676            
34           0.006118             0.007676            
35           0.006118             0.007676            
36           0.006118             0.007676            
37           0.006118             0.007676            
38           0.006130             0.007685            
39           0.006130             0.007685            
40           0.006799             0.008154            
41           0.006878             0.008373            
42           0.006948             0.008275            
43           0.006948             0.008275            
44           0.006948             0.008275            
45           0.006948             0.008275            
46           0.006948             0.008275            
47           0.006948             0.008275            
48           0.006948             0.008275            
49           0.006948             0.008275            
50           0.006948             0.008275            
51           0.006948             0.008275            
52           0.006948             0.008275            
53           0.006948             0.008275            
54           0.006948             0.008275            
55           0.006948             0.008275            
56           0.006948             0.008275            
57           0.006948             0.008275            
58           0.006948             0.008275            
59           0.006948             0.008275            
60           0.006948             0.008275            
61           0.006948             0.008275            
62           0.006948             0.008275            
63           0.006948             0.008275            
64           0.006948             0.008275            
65           0.006948             0.008275            
66           0.006948             0.008275            
67           0.006948             0.008275            
68           0.006948             0.008275            
69           0.006948             0.008275            
70           0.006948             0.008275            
71           0.006948             0.008275            
72           0.006948             0.008275            
73           0.006948             0.008275            
74           0.006948             0.008275            
75           0.006948             0.008275            
76           0.006948             0.008275            
77           0.006948             0.008275            
78           0.006948             0.008275            
79           0.006948             0.008275            
80           0.007353             0.008856            
81           0.007514             0.009156            
82           0.007514             0.009156            
83           0.007514             0.009156            
84           0.007514             0.009156            
85           0.007514             0.009156            
86           0.007514             0.009156            
87           0.007514             0.009156            
88           0.007514             0.009156            
89           0.007514             0.009156            
90           0.007514             0.009156            
91           0.007514             0.009156            
92           0.007514             0.009156            
93           0.007514             0.009156            
94           0.007514             0.009156            
95           0.007514             0.009156            
96           0.007514             0.009156            
97           0.007514             0.009156            
98           0.007514             0.009156            
99           0.007514             0.009156            


Experiment 1 Results (DTLearner RMSE vs. Leaf Size)
